scope,commander,player,date,event,field_size,standing,wins,losses,draws,top_cut,winner,deck_url,event_url
global,"Thrasios, Triton Hero / Tymna the Weaver",[AP9] A!an,2026-08-14,Shattered TCG Summer Series: cEDH Back to School Jam 2: Sophmore Year,30,1,3,0,1,True,True,https://moxfield.com/decks/isCfAeU9_3yNHmg5S9t5lA,https://topdeck.gg/event/shattered-tcg-summer-series-cedh-end-of-summer-slam-copy
global,"Thrasios, Triton Hero / Tymna the Weaver",Jordon Robbins,2026-08-24,Oahu Commander Invitational Qualifier Ser4S2W7,20,1,4,2,0,True,True,https://moxfield.com/decks/9bxNL06vJEmHMZSwiQz_bQ,https://topdeck.gg/event/oahu-commander-invitational-qualifier-ser4s2w7
global,"Thrasios, Triton Hero / Tymna the Weaver",Ethan Morrison,2026-08-15,CEDH Unleashed @ MTG MATE,20,1,2,2,1,True,True,https://moxfield.com/decks/iOp7b20V9kKbPN1E28TdoQ,https://topdeck.gg/event/cedh-unleashed-mtg-mate-2
global,"Thrasios, Triton Hero / Tymna the Weaver",Sawyer Lougheed,2026-08-22,BREACH THE BAY 2 - cEDH 25K - AUGUST 22nd & 23rd,429,19,5,2,0,True,False,https://moxfield.com/decks/srJ31niwBUGh_OK5ApoFrw,https://topdeck.gg/event/breach-the-bay-2
global,"Thrasios, Triton Hero / Yoshimaru, Ever Faithful",Auston Robertson,2026-08-15,Magic the Gathering Commander cEDH Dual Land Tournament,31,1,4,2,0,True,True,https://moxfield.com/decks/OwSgAVTdhXCDETPOa8J5-A,https://topdeck.gg/event/magic-the-gathering-commander-cedh-dual-land-tournament
global,"Thrasios, Triton Hero / Yoshimaru, Ever Faithful",Chrissy Kay,2026-08-22,The End Games King Kong Fu CEDH Tournament,20,1,3,1,1,True,True,https://moxfield.com/decks/JBcSQAY_7E-N7uwUaoMvTQ,https://topdeck.gg/event/the-end-games-king-kong-fu-cedh-tournament
global,"Thrasios, Triton Hero / Yoshimaru, Ever Faithful",Smallz [LUX],2026-08-15,August Event | Dragon Parlor Games 2026 cEDH Season,23,1,2,2,1,True,True,https://moxfield.com/decks/MUGqVqZqB0qFJbBmJAWbaw,https://topdeck.gg/event/april-the-quest-qualifier-event-dragon-parlor-games-2026-2
global,"Thrasios, Triton Hero / Yoshimaru, Ever Faithful",Chris calhoun,2026-08-15,"James Stratton presents: The first ever ""we fight for our wins"" cedh tournament hosted by Saferoom Games",29,1,3,2,0,False,True,https://moxfield.com/decks/x-eeAWglkXW9pYpYi3T1_g,https://topdeck.gg/event/james-stratton-presents-the-first-ever-we-fight-for-our
global,"Thrasios, Triton Hero / Yoshimaru, Ever Faithful",Dixon Layton,2026-08-22,BREACH THE BAY 2 - cEDH 25K - AUGUST 22nd & 23rd,429,8,5,2,1,True,False,https://moxfield.com/decks/Zl04m7yKgEeCzlHqxLuJkw,https://topdeck.gg/event/breach-the-bay-2
global,"Tivit, Seller of Secrets",Abraham Rodríguez Leija,2026-08-29,Nacional de CEDH 100K @ WolfCon 2026,123,6,4,2,0,True,False,https://moxfield.com/decks/O9hkdF11L0athaSk6ULqPw,https://topdeck.gg/event/nacional-de-cedh-100k-1
global,"Tivit, Seller of Secrets",Haziel C,2026-08-29,Battlegrounds cEDH Monthly,32,2,3,2,0,True,False,https://moxfield.com/decks/K3N5JlSqeE6zRzPsm9GD5g,https://topdeck.gg/event/battlegrounds-cedh-monthly-2-1784678287310
global,"Tivit, Seller of Secrets",Eli Murphy,2026-08-29,Blast Off Gaming $3k Dual Dash cEDH Tournament!,77,5,3,2,1,True,False,https://moxfield.com/decks/wS8Apim_NUCodEfT97ViSg,https://topdeck.gg/event/blast-off-gaming-cedh-tournament-6
global,"Tivit, Seller of Secrets",Beto Arriaga,2026-08-29,Nacional de CEDH 100K @ WolfCon 2026,123,7,3,3,0,True,False,https://moxfield.com/decks/z2BwR-FqRUCZozHHEQdtLg,https://topdeck.gg/event/nacional-de-cedh-100k-1
global,"Tivit, Seller of Secrets",Jacob Ian Rodriguez,2026-08-29,Capital District CEDH X,47,4,2,1,4,True,False,https://moxfield.com/decks/QDSvM5WoDE2hRaK8PbyM-Q,https://topdeck.gg/event/capital-district-cedh-x
global,"Urza, Lord High Artificer",Micah,2026-08-22,BREACH THE BAY 2 - cEDH 25K - AUGUST 22nd & 23rd,429,109,2,2,2,False,False,https://moxfield.com/decks/VdHWTHU-2UqohtLZpCbBrg,https://topdeck.gg/event/breach-the-bay-2
global,"Urza, Lord High Artificer",Francisco De la Cruz Herrera,2026-08-29,Nacional de CEDH 100K @ WolfCon 2026,123,33,2,3,0,False,False,https://moxfield.com/decks/yFclGBIjWESl6PSSQFxmAg,https://topdeck.gg/event/nacional-de-cedh-100k-1
global,"Urza, Lord High Artificer",Brad Anderson,2026-08-30,Forbes CEDH Mox Diamond Qualifier| Aug 2026,34,12,1,2,1,False,False,https://moxfield.com/decks/Sm3xpE-A-EKhNZowDWYr5g,https://topdeck.gg/event/forbes-cedh-mox-diamond-qualifier-aug-2026
global,"Urza, Lord High Artificer",Dani Gonzalez (Drg),2026-08-22,COMMANDER CEDH LALUNA 22-08,47,23,0,0,4,False,False,https://moxfield.com/decks/dh-ibQ91HEeV2JuArOXkzQ,https://topdeck.gg/event/commander-cedh-laluna-22-08-3
global,"Urza, Lord High Artificer",Brandon burgos,2026-08-22,ULTIMO Clasificatorio Nacional cEDH STACK SURFERS,53,35,0,1,4,False,False,https://moxfield.com/decks/RzLmaf3R5E-d84vbr9iskQ,https://topdeck.gg/event/2do-clasificatorio-nacional-cedh-stack-surfers
