scope,commander,player,date,event,field_size,standing,wins,losses,draws,top_cut,winner,deck_url,event_url
global,"Kinnan, Bonder Prodigy",Jayden Davis,2026-08-28,Spotlight: The Hobbit™ Saturday CEDH,56,1,5,0,2,True,True,https://moxfield.com/decks/KC--hk82dUScsdB-unOuHA,https://topdeck.gg/event/spotlight-the-hobbittm-saturday-cedh
global,"Kinnan, Bonder Prodigy",Jonathon Foster,2026-08-16,Brigandry Games CEDH Win-a-Mox,40,1,5,1,1,True,True,https://moxfield.com/decks/_PyB6HUi80GILp9pwCdZAw,https://topdeck.gg/event/brigandry-games-cedh-win-a-mox
global,"Kraum, Ludevic's Opus / Tymna the Weaver",Nameless,2026-09-03,VG+ Cedh Melee LXXVIII Single Elimination,16,1,2,0,0,True,True,https://moxfield.com/decks/PO6QJTDStUuo_J5Mx8jSkg,https://topdeck.gg/event/vg-cedh-melee-lxxviii-single-elimination
global,"Kraum, Ludevic's Opus / Tymna the Weaver",Sam Thompson,2026-09-06,cEDH Scotland - Merchant's Guild Qualifier September,27,1,4,1,0,True,True,https://moxfield.com/decks/kLkSKygG6kmpRqRe7K7ZOw,https://topdeck.gg/event/merchants-guild-qualifier-september
global,"Kraum, Ludevic's Opus / Tymna the Weaver",Asa Tuten,2026-08-30,Midgar Market cEDH Monthly 7: Back to School: Strixhaven Edition,16,1,4,1,0,True,True,https://moxfield.com/decks/qz6gAV1cqHq42sdNSAG1Lw,https://topdeck.gg/event/midgar-market-cedh-monthly-7-back-to-school-strixhaven
global,"Kraum, Ludevic's Opus / Tymna the Weaver",Ethan Guertner,2026-08-29,VictoryPointCEDH,17,1,3,1,0,True,True,https://moxfield.com/decks/ZU6gAVq9iH2kGzJXBjh_MA,https://topdeck.gg/event/victorypointcedh
global,"Kraum, Ludevic's Opus / Tymna the Weaver",NEW,2026-08-28,Hotsauce Games Friday CEDH,16,1,3,1,0,True,True,https://moxfield.com/decks/K4LKoJJFskqMZj97dJKCuQ,https://topdeck.gg/event/hotsauce-games-friday-cedh-81
global,"Magda, Brazen Outlaw",Sebastian San Martin,2026-08-22,ULTIMO Clasificatorio Nacional cEDH STACK SURFERS,53,1,5,0,2,True,True,https://moxfield.com/decks/iVX9xTqkEUuqFnwfFwijVw,https://topdeck.gg/event/2do-clasificatorio-nacional-cedh-stack-surfers
global,"Magda, Brazen Outlaw",The.Chad.Bod,2026-08-15,Lifelink Games $1k cEDH Championship,37,1,4,1,1,True,True,https://moxfield.com/decks/Y6TfSan17k2vj2ndwzZbEg,https://topdeck.gg/event/lifelink-games-1k-cedh-championship
global,"Magda, Brazen Outlaw",John-Ryan Dunn,2026-08-15,Game on Win-a-Card Cedh August 15th,28,1,3,0,2,True,True,https://moxfield.com/decks/6rs8z9ESV0WJvRhiRu4NUA,https://topdeck.gg/event/game-on-win-a-card-cedh-august-15th
global,"Magda, Brazen Outlaw",James Ayad [CL],2026-08-30,Cash Cards Unlimited CEDH Tournament - August,41,1,3,1,2,True,True,https://moxfield.com/decks/jjqtLrHrOUKmbFMCPGvfTQ,https://topdeck.gg/event/cash-cards-unlimited-cedh-tournament-august-2
global,"Magda, Brazen Outlaw",Phillip Johnstone,2026-09-05,Magic: The Gathering - cEDH - Store Championship,23,3,3,2,1,True,False,https://moxfield.com/decks/-WrkBor_O0u-NanHaC_6_g,https://topdeck.gg/event/magic-the-gathering-cedh-store-championship-996
global,"Maralen, Fae Ascendant",Alexander Wootten,2026-08-15,JANK JUGGERNAUTS #1 - OFF META CEDH (Presented by Salt Free MTG),52,13,1,3,1,True,False,https://moxfield.com/decks/yc6NeryzVkWskgKOya1SwQ,https://topdeck.gg/event/jank-juggernauts-1-off-meta-cedh
global,"Maralen, Fae Ascendant",Ryan Bram [[SLOP]],2026-09-04,Weekly cEDH at Arcanum!,19,4,1,1,1,False,False,https://moxfield.com/decks/2uyNJp9cdkmVsswdeSPbGQ,https://topdeck.gg/event/weekly-cedh-at-arcanum-4
global,"Maralen, Fae Ascendant",Korey Kozlowski,2026-09-05,Commander Invitational Qualifier - E4 Cards,21,5,1,2,0,False,False,https://moxfield.com/decks/Ta6eATKczHeS8kVcjISgyA,https://topdeck.gg/event/commander-invitational-qualifier-e4-cards-3
global,"Maralen, Fae Ascendant",[LPW] DanK,2026-09-05,Commander Invitational Qualifier - Current Nerd Cafe,60,34,1,4,0,False,False,https://moxfield.com/decks/8YCni4-iR0mqt6hZBCrKBA,https://topdeck.gg/event/commander-invitational-qualifier-current-nerd-cafe-5
global,"Maralen, Fae Ascendant",[Hooligan] Riley Atkinson,2026-09-05,PDX cEDH @ Guardian Games September 5th 2026 10:30 AM,70,47,0,1,4,False,False,https://moxfield.com/decks/dAJUsg5x-kCmjLYKr-E-ow,https://topdeck.gg/event/guardian-games-cedh-monthly-pdx
global,"Ral, Monsoon Mage // Ral, Leyline Prodigy",Hi it me Ed [CenCal],2026-08-15,CEDH ccc 8/14/26,25,1,3,0,1,True,True,https://moxfield.com/decks/b2p-MZQJYkeCAjQgxqaiyw,https://topdeck.gg/event/cedh-ccc-81426
global,"Ral, Monsoon Mage // Ral, Leyline Prodigy",Franco Escobar,2026-08-29,Potomac Mills MTG CEDH Commander Tournament,36,1,3,2,0,True,True,https://moxfield.com/decks/hclU60jGn0-KOakSBOFQUg,https://topdeck.gg/event/potomac-mills-mtg-cedh-commander-tournament-2
global,"Ral, Monsoon Mage // Ral, Leyline Prodigy",maya rader [pinnacle],2026-08-15,Diamond In the Rough cEDH Event,37,1,3,1,2,True,True,https://moxfield.com/decks/4yiDxOQK4EGscc2olQIc5w,https://topdeck.gg/event/one-diamond-to-rule-them-all
global,"Ral, Monsoon Mage // Ral, Leyline Prodigy",Xavi Lopez,2026-09-04,La Competència | Brain Freeze | cEDH,17,1,2,0,1,False,True,https://moxfield.com/decks/PVifAcvfbHWbSKUZ-0iICA,https://topdeck.gg/event/la-competencia-brain-freeze-cedh-375
global,"Ral, Monsoon Mage // Ral, Leyline Prodigy",Jonathan,2026-08-10,Monday Night cEDH Season 4 Week 12,18,1,1,1,0,False,True,https://moxfield.com/decks/PtFyox5QB0a3weNcfLv0Cw,https://topdeck.gg/event/monday-night-cedh-season-4-week-12
